participant,n_trials,complete_ratings,has_engagement,has_ai_usage,has_familiarity,exclude,duration,progress,finished,age_band,gender,colour_vision,familiarity,engagement,engagement_z,engagement_hi,engagement_lo,engagement_group,engagement_7item,engagement_7item_z,ai_usage,ai_usage_z,dist_none,dist_human,dist_ai,rating_none,rating_human,rating_ai,slope_none,slope_human,slope_ai,sd_none,sd_human,sd_ai
R_2CBpUaaWpwRcZYV,27,yes,yes,yes,yes,,226,100,True,18-24 years old,Female,"No, I am not colourblind",1.0,0.5,-0.3874347530096192,-1.3874347530096192,0.6125652469903808,low,0.7143,-0.3275,0.25,-0.5878,2.2222,3.1111,2.7778,5.4444,4.5556,4.4444,0.2122,0.0729,-0.021,1.5899,2.1279,1.8782
R_8Xnip1YOHD6hdaV,27,yes,yes,yes,yes,,44858,100,True,55-64 years old,Female,"No, I am not colourblind",2.0,0.6666666666666666,-0.0565009014805694,-1.0565009014805695,0.9434990985194304,low,1.1429,0.5579,0.375,-0.3318,1.6667,2.8889,3.0,5.3333,5.5556,5.8889,0.2349,-0.0185,-0.2156,1.4142,1.8105,1.6915
R_2GOL1oKBgj5RWVj,27,yes,yes,yes,yes,,355,100,True,25-34 years old,Female,"No, I am not colourblind",1.0,0.0,-1.3802363075967687,-2.3802363075967685,-0.3802363075967687,low,0.1429,-1.5079,0.75,0.4361,2.8889,2.4444,2.3333,5.0,6.1111,5.2222,0.2292,0.1927,0.098,2.0,2.0883,1.8559
R_8qa4RuqmJQwPD40,27,yes,yes,yes,yes,,778,100,True,25-34 years old,Male,"No, I am not colourblind",1.0,0.6666666666666666,-0.0565009014805694,-1.0565009014805695,0.9434990985194304,low,0.5714,-0.6227,1.125,1.2041,3.2222,1.7778,2.8889,6.3333,4.8889,4.6667,-0.1344,0.3744,0.0323,1.8028,1.7638,2.0616
R_8L6Zo1ro2cx1CXA,27,yes,yes,yes,yes,,254,100,True,25-34 years old,Female,"No, I am not colourblind",1.0,0.3333333333333333,-0.7183686045386691,-1.7183686045386692,0.2816313954613308,low,0.4286,-0.9177,1.375,1.716,3.3333,2.4444,3.1111,3.1111,4.8889,3.3333,0.4505,0.1518,0.1102,2.9345,1.8333,1.8028
R_20NYXw8gg7XGpjj,27,yes,yes,yes,yes,,228,100,True,25-34 years old,Male,"No, I am not colourblind",2.0,0.5,-0.3874347530096192,-1.3874347530096192,0.6125652469903808,low,0.7143,-0.3275,2.125,3.2519,3.4444,4.2222,2.6667,6.7778,5.5556,5.3333,-0.031,-0.418,-0.209,1.3017,2.2973,1.4142
R_26AzAeKSS20I82l,27,yes,yes,yes,yes,,545,100,True,55-64 years old,Male,"No, I am not colourblind",1.0,0.3333333333333333,-0.7183686045386691,-1.7183686045386692,0.2816313954613308,low,0.2857,-1.2129,1.0,0.9481,2.3333,3.1111,2.2222,3.6667,3.3333,3.8889,0.2049,0.1215,0.2262,1.3229,1.8708,2.0276
R_2MJPiYM1N28GaNu,27,yes,yes,yes,yes,,487,100,True,35-44 years old,Female,"No, I am not colourblind",1.0,0.5,-0.3874347530096192,-1.3874347530096192,0.6125652469903808,low,0.5714,-0.6227,1.75,2.484,3.2222,2.5556,2.8889,4.7778,5.5556,5.1111,0.1167,0.0912,-0.0321,2.4889,1.9437,1.8333
R_7KUfpbQLOHzWn3p,27,yes,yes,yes,yes,,278,100,True,25-34 years old,Female,"No, I am not colourblind",1.0,0.1666666666666666,-1.049302456067719,-2.049302456067719,-0.0493024560677191,low,0.4286,-0.9177,0.375,-0.3318,2.2222,4.0,2.2222,4.2222,2.8889,2.1111,0.119,0.2248,0.4223,2.2791,2.0883,1.965
R_8znkpeWchHpe0mZ,27,yes,yes,no,yes,,507,80,False,25-34 years old,Male,"No, I am not colourblind",5.0,0.5,-0.3874347530096192,-1.3874347530096192,0.6125652469903808,low,1.0,0.2627,,,2.8889,3.1111,2.6667,5.0,4.8889,4.4444,0.0523,-0.1366,0.122,1.8708,2.2608,1.3333
R_22PiLxjHOlbfGFH,27,yes,no,no,yes,,835,70,False,25-34 years old,Female,"No, I am not colourblind",1.0,,,,,,,,,,3.8889,2.7778,1.6667,3.4444,4.6667,4.1111,0.022,0.0526,0.7221,2.1858,1.8028,2.6194
R_2fjwkioK9TGguOj,27,yes,yes,yes,yes,,407,90,False,18-24 years old,Male,"No, I am not colourblind",1.0,2.1666666666666665,2.921903762280879,1.9219037622808788,3.921903762280879,high,2.0,2.3286,0.5,-0.0758,3.1111,2.6667,2.6667,6.7778,6.2222,6.1111,0.1028,0.5271,0.2326,1.7159,1.8559,1.6159
